alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off
00033,,PN/ECT device_01_drop station,2,,
00034,,PN/ECT device_02_drop station,2,,
00035,,PN/ECT device_03_drop station,2,,
00036,,PN/ECT equipment_04_drop station,2,,
00037,,PN/ECT equipment_05_drop station,2,,
00038,,PN/ECT equipment_06_drop station,2,,
00039,,PN/ECT equipment_07_drop station,2,,
00040,,PN/ECT equipment_08_drop station,2,,
00041,,PN/ECT equipment_09_drop station,2,,
00042,,PN/ECT device_10_drop station,2,,
00043,,PN/ECT equipment_11_drop station,2,,
00044,,PN/ECT device_12_drop station,2,,
00045,,PN/ECT device_13_drop station,2,,
00046,,PN/ECT equipment_14_drop station,2,,
00047,,PN/ECT device_15_drop station,2,,
00048,,PN/ECT device_16_drop station,2,,
00049,,PN/ECT equipment_17_drop station,2,,
00050,,PN/ECT equipment_18_drop station,2,,
00051,,PN/ECT device_19_drop station,2,,
00052,,PN/ECT device_20_drop station,2,,
00053,,PN/ECT equipment_21_drop station,2,,
00054,,PN/ECT device_22_drop station,2,,
00055,,PN/ECT device_23_drop station,2,,
00056,,PN/ECT equipment_24_drop station,2,,
00057,,PN/ECT device_25_drop station,2,,
00058,,PN/ECT device_26_drop station,2,,
00059,,PN/ECT device_27_drop station,2,,
00060,,PN/ECT equipment_28_drop station,2,,
00061,,PN/ECT device_29_drop station,2,,
00062,,PN/ECT device_30_drop station,2,,
00063,,PN/ECT device_31_drop station,2,,
00064,,PN/ECT device_32_drop station,2,,
00065,,PN/ECT device_33_drop station,2,,
00066,,PN/ECT device_34_drop station,2,,
00067,,PN/ECT device_35_drop station,2,,
00068,,PN/ECT device_36_drop station,2,,
00069,,PN/ECT device_37_drop station,2,,
00070,,PN/ECT equipment_38_drop station,2,,
00071,,PN/ECT device_39_drop station,2,,
00072,,PN/ECT device_40_drop station,2,,
00073,,PN/ECT device_41_drop station,2,,
00074,,PN/ECT device_42_drop station,2,,
00075,,PN/ECT device_43_drop station,2,,
00076,,PN/ECT device_44_drop station,2,,
00077,,PN/ECT equipment_45_drop station,2,,
00078,,PN/ECT equipment_46_drop station,2,,
00079,,PN/ECT device_47_drop station,2,,
00080,,PN/ECT equipment_48_drop station,2,,
00081,,PN/ECT device_49_drop station,2,,
00082,,PN/ECT device_50_drop station,2,,
00083,,PN/ECT device_51_drop station,2,,
00084,,PN/ECT device_52_drop station,2,,
00085,,PN/ECT device_53_drop station,2,,
00086,,PN/ECT device_54_drop station,2,,
00087,,PN/ECT device_55_drop station,2,,
00088,,PN/ECT device_56_drop station,2,,
00089,,PN/ECT device_57_drop station,2,,
00090,,PN/ECT equipment_58_drop station,2,,
00091,,PN/ECT device_59_drop station,2,,
00092,,PN/ECT device_60_drop station,2,,
00093,,PN/ECT equipment_61_drop station,2,,
00094,,PN/ECT device_62_drop station,2,,
00095,,PN/ECT equipment_63_drop station,2,,
00096,,PN/ECT device_64_drop station,2,,
00102,,"Low air pressure fault, please check!",2,,
00103,,"The process is abnormal, please confirm!",2,,
00104,,"The recipe data has not been written, please check!",2,,
00105,,"Abnormal main power phase sequence detection alarm, please check!",2,,
00106,,"The grating is abnormal, please check!",2,,
00107,,"Emergency stop circuit fault, please check!",2,,
00108,,"Safety door circuit fault, please check!",2,,
00109,,"Control ON, no feedback signal from Anji power-on is received",2,,
00110,,"Control ON, Anji feedback signal lost",2,,
00111,,"Control ON, Anji enable lost",2,,
00112,,The recipe switching conditions are not met. Please make sure that no product is being produced in the equipment!,2,,
00113,,"RecipeID is not in the list, please check whether the RecipeID configuration in MES is correct!",2,,
00114,,"The equipment tooling does not match the recipe parameters, please check whether the tooling has been replaced!",2,,
00115,,"Currently in offline or MES shielding mode, the recipe cannot be switched remotely. Please switch to online mode!",2,,
00116,,The device RecipeID is inconsistent with the RecipeID in the host computer!,2,,
00117,,"Pallet flow line STN1_Material account inconsistency alarm, please confirm!",2,,
00118,,"Pallet flow line STN2_Material account inconsistency alarm, please confirm!",2,,
00119,,"Pallet work platform STN1_Material account inconsistency alarm, please confirm!",2,,
00120,,"Pallet work platform STN2_Material account inconsistency alarm, please confirm!",2,,
00121,,"_Material account inconsistency alarm, please confirm!",2,,
00122,,"_Material account inconsistency alarm, please confirm!",2,,
00123,,"_Material account inconsistency alarm, please confirm!",2,,
00124,,"_Material account inconsistency alarm, please confirm!",2,,
00125,,"_Material account inconsistency alarm, please confirm!",2,,
00126,,"_Material account inconsistency alarm, please confirm!",2,,
00127,,"_Material account inconsistency alarm, please confirm!",2,,
00128,,"_Material account inconsistency alarm, please confirm!",2,,
00129,,"_Material account inconsistency alarm, please confirm!",2,,
00130,,"_Material account inconsistency alarm, please confirm!",2,,
00131,,"_Material account inconsistency alarm, please confirm!",2,,
00132,,"_Material account inconsistency alarm, please confirm!",2,,
00133,,"MES information upload STN1_response timeout, please confirm!",2,,
00134,,"MES information upload STN2_response timeout, please confirm!",2,,
00135,,"MES information query_response timeout, please confirm!",2,,
00136,,"Take a photo on the camera clip_Response timeout, please confirm!",2,,
00137,,"Download camera to take photo_Response timeout, please confirm!",2,,
00138,,"Camera guide to take photos 1A_Response timeout, please confirm!",2,,
00139,,"MES information query_response timeout, please confirm!",2,,
00140,,"Go to camera to guide photo taking 1B_Response timeout, please confirm!",2,,
00141,,"_Response timeout, please confirm!",2,,
