alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off
0,,Panel emergency stop button,2,,
4,,Front Safety door not closed,2,,
5,,Rear Left  Safety door not closed,2,,
6,,Front Right Safety door not closed,2,,
38,,MES heartbeat timeout,2,,
39,,CCD heartbeat timeout,2,,
40,,CCD Formula matching failed,2,,
50,,Transplant X-Axis servo failure,2,,
51,,Transplant Y-Axis servo failure,2,,
52,,Transplant Z-Axis servo failure,2,,
53,,CCD Trigger command processing timeout,2,,
54,,MES Allow PLC work timeout,2,,
60,,Product inlet line Block cylinder failure,2,,
61,,Product in Product inlet line£¬Please take it away,2,,
70,,Photography line Block cylinder failure,2,,
71,,"Product in Photography line,Please take it away",2,,
80,,Outflow line Block cylinder failure,2,,
81,,Outflow line Vehicle outflow timeout,2,,
