alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off
1,,CHB1 CV1 OPEN ALM,2,,
2,,CHB1 CV1 CLOSE ALM,2,,
3,,CHB2 CV2 OPEN ALM,2,,
4,,CHB2 CV2 CLOSE ALM,2,,
5,,CHB3 CV3 OPEN ALM,2,,
6,,CHB3 CV3 CLOSE ALM,2,,
7,,CHB4 CV4 OPEN ALM,2,,
8,,CHB4 CV4 CLOSE ALM,2,,
9,,CHB4 CV5 OPEN ALM,2,,
10,,CHB4 CV5 CLOSE ALM,2,,
11,,CHB1 VENT INVALID,2,,
12,,CHB2 VENT INVALID,2,,
13,,CHB3 VENT INVALID,2,,
14,,CHB4 VENT INVALID,2,,
15,,DP1 ERROR,2,,
16,,BP1 ERROR,2,,
17,,DP2 ERROR,2,,
18,,BP2 ERROR,2,,
19,,DP31 ERROR,2,,
20,,BP31 ERROR,2,,
21,,DP32 ERROR,2,,
22,,BP32 ERROR,2,,
23,,DP4 ERROR,2,,
24,,BP4 ERROR,2,,
25,,DP1 WATER ALARM,2,,
26,,DP2 WATER ALARM,2,,
27,,DP31 WATER ALARM,2,,
28,,DP32 WATER ALARM,2,,
29,,DP4 WATER ALARM,2,,
30,,DP1 TEMP ALARM,2,,
31,,BP1 TEMP ALARM,2,,
32,,DP2 TEMP ALARM,2,,
33,,PB2 TEMP ALARM,2,,
34,,DP31 TEMP ALARM,2,,
35,,BP31 TEMP ALARM,2,,
36,,DP32 TEMP ALARM,2,,
37,,BP32 TEMP ALARM,2,,
38,,DP4 TEMP ALARM,2,,
39,,BP4 TEMP ALARM,2,,
40,,DP1 RUNNING MESSAGE,2,,
41,,BP1 RUNNING MESSAGE,2,,
42,,DP2 RUNNING MESSAGE,2,,
43,,BP2 RUNNING MESSAGE,2,,
44,,DP31 RUNNING MESSAGE,2,,
45,,BP31 RUNNING MESSAGE,2,,
46,,DP32 RUNNING MESSAGE,2,,
47,,BP32 RUNNING MESSAGE,2,,
48,,DP4 RUNNING MESSAGE,2,,
49,,BP4 RUNNING MESSAGE,2,,
50,,CHB1 PUMPDOWN INVALID,2,,
51,,CHB1 PUMPDOWN OVERTIME,2,,
52,,CHB2 PUMPDOWN INVALID,2,,
53,,CHB2 PUMPDOWN OVERTIME,2,,
54,,CHB4 PUMPDOWN INVALID,2,,
55,,CHB4 PUMPDOWN OVERTIME,2,,
56,,ALL CHB PUMPDOWN INVALID,2,,
57,,ALL CHB PUMPDOWN OVERTIME,2,,
58,,ALL CHB PUMPDOWN;CHB Pressure Not Equal,2,,
59,,C2MFC1(AR) ALARM,2,,
60,,C2MFC2(O2) ALARM,2,,
61,,C32MFC1(AR) ALARM,2,,
62,,C32MFC2(AR) ALARM,2,,
63,,C33MFC1(He) ALARM,2,,
64,,C34MFC1(AR) ALARM,2,,
65,,C34MFC2(AR) ALARM,2,,
66,,C35MFC1(He) ALARM,2,,
67,,C36MFC1(AR) ALARM,2,,
68,,C36MFC2(AR) ALARM,2,,
69,,C37MFC1(He) ALARM,2,,
70,,C38MFC1(AR) ALARM,2,,
71,,C38MFC2(AR) ALARM,2,,
72,,C39MFC1(He) ALARM,2,,
73,,C310MFC1(AR) ALARM,2,,
74,,C310MFC2(AR) ALARM,2,,
75,,TP31 startup invalid,2,,
76,,TP31 wat alarm,2,,
77,,TP31 acc overtime,2,,
78,,TP31 pump over temp,2,,
79,,TP31 CTL over temp,2,,
80,,TP31 comm fault,2,,
81,,TP31 fault,2,,
82,,TP31 before startup; vac fault,2,,
83,,TP31 running; vac fault,2,,
84,,TP31 power supply fault,2,,
85,,TP33 startup invalid,2,,
86,,TP33 wat alarm,2,,
87,,TP33 acc overtime,2,,
88,,TP33 pump over temp,2,,
89,,TP33 CTL over temp,2,,
90,,TP33 comm fault,2,,
91,,TP33 fault,2,,
92,,TP33 before startup; vac fault,2,,
93,,TP33 running; vac fault,2,,
